"Qualifying Name","Name of Area","FIPS","State","County","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Mentally Unhealthy Days per Month (Persons 18 Years and Over)","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Physically Unhealthy Days per Month (Persons 18 Years and Over)","Percent of Adults That Report Fair or Poor Health (Persons 18 Years and Over)","Adults That Report Fair or Poor Health","Percent of Low Birthweight Births (<2.5kg)","Low Birthweight Births (<2.5kg)","Primary Care Physicians (PCP)","Mental Health Providers (MHP)","Dentists","Primary Care Physicians (PCP) Rate per 100,000 Population","Mental health providers (MHP) Rate per 100,000 Population","Dentists Rate per 100,000 Population","Percent Adults with Limited Access to Doctor Due to Costs","Health Care Costs Price-adjusted Medicare Reimbursements","Percent of Persons Without Insurance (Population Under 19 Years, 2011 est.)","Percent of Persons Without Insurance (Population 18 to 64 Years, 2011 est.)","Percent of Persons Without Insurance (Population Under 65 Years, 2011 est.)","Persons Without Insurance (Population Under 19 Years, 2011 est.)","Persons Without Insurance (Population 18 to 64 Years, 2011 est.)","Persons Without Insurance (Population Under 65 Years, 2011 est.)","Premature Deaths (Less than 75 Years)","Years of Potential Life Lost (YPLL) Rate per 100,000 Population (Less than 75 Years)","Child Mortality (Death Counts)","Premature Age-adjusted Mortality (Death Counts)","Drug Poisoning Mortality (Death Counts)","Child Mortality Rate per 1,000 Population","Premature Age-adjusted Mortality Rate per 100,000 Population","Drug Poisoning Mortality Rate per 100,000 Population","Percent of Diabetic Medicare Enrollees Receiving Hba1c Test","Diabetic Medicare Enrollees (Out of Total Medicare Enrolles)","Teen Births Count (Females 15 to 19 Years) ","Chlamydia Cases (Count)","Teen Births Rate per 100,000 Population (Females 15 to 19 Years)","Chlamydia Cases Rate per 100,000 Population","Percent Current Smokers (Persons 18 Years and Over)","Percent Drinking Adults (Persons 18 Years and Over)","Current Smokers (Adults Over 18)","Drinking Adults","Percent of Persons with Limited Access to Healthy Foods","Percent Obese Persons (20 Years and Over)","Percent Physically Inactive Persons (20 Years and Over)","Persons with Limited Access to Healthy Foods","Obese Persons (20 Years and Over)","Physically Inactive Persons (20 Years and Over)","Food Environment Index"
Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T001_002,SE_NV002_001,SE_NV002_002,SE_T002_001,SE_NV003_001,SE_T003_001,SE_NV004_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_NV005_001,SE_NV005_002,SE_NV005_003,SE_T005_001,SE_T005_002,SE_T006_001,SE_T006_002,SE_T006_003,SE_NV007_001,SE_NV007_002,SE_NV007_003,SE_T007_001,SE_T007_002,SE_T008_001,SE_T008_002,SE_T008_003,SE_NV008_001,SE_NV008_002,SE_NV008_003,SE_T009_001,SE_NV009_001,SE_T010_001,SE_T010_002,SE_NV010_001,SE_NV010_002,SE_T011_001,SE_T011_002,SE_NV011_001,SE_NV011_002,SE_T012_001,SE_T012_002,SE_T012_003,SE_NV012_001,SE_NV012_002,SE_NV012_003,SE_T013_001
"Cherokee County, Alabama","Cherokee","01019","01","01019",6.1,5.2,199,201,24.2,208,8.9,149,7,4,4,26.86418,15.20277,15.20277,17.1,10670.56,5.139373,21.403152,17.153784409,295,3368,3633,470,9408.68,16,470,23,72.66782,466.5,12.891221,88.37675351,499,268,70,52.231533814,268.6,24.4,14.9,208,199,0.1326863763,31.4,34.2,34,"","",8.1663439164
"Chilton County, Alabama","Chilton","01021","01","01021",4.6,4.9,339,344,20.5,347,9.8,396,8,6,9,18.22531,13.57098,20.35646,14.7,10848.641,7.425393,25.443588,20.164477197,841,6797,7552,741,10330.43,43,741,55,98.50411,521.7,18.391881,86.75496689,453,571,141,57.682594201,321.2,20.1,9.3,346,337,1.6886043046,38.3,31.5,736,"","",8.1049126062
"Choctaw County, Alabama","Choctaw","01023","01","01023",5.6,4.6,499,495,31.6,517,11.6,126,5,,6,36.74039,,43.59831,25.2,9952.833,6.26192,21.885522,17.577413479,197,1755,1930,253,11985.42,,253,,,515.6,,84.12698413,441,154,63,45.778834721,462.9,19.9,,516,,11.628068422,38.9,37.9,1611,"","",5.9996493464
"Clarke County, Alabama","Clarke","01025","01","01025",4.4,3,388,389,21.8,398,12.9,270,12,5,7,46.70169,19.65332,27.51464,12.6,9764.146,5.896806,23.624745,18.434390839,384,3586,3928,403,9309.47,13,403,,48.82812,452.2,,78.78787879,561,291,211,41.918755402,821.2,13.7,8.8,398,389,11.232512663,36,37,2901,"","",5.1437358025
"Clay County, Alabama","Clay","01027","01","01027",6,5.3,186,187,28.6,193,10.7,114,5,1,2,36.06983,7.31475,14.62951,22.3,9660.846,7.236432,23.750461,19.172327494,232,1934,2145,254,9914.91,10,254,,77.8089,500.7,,85.71428571,231,167,63,52.073589024,454.5,26.2,,195,,1.9289483357,35.3,39.4,268,"","",7.4621895509
"Cleburne County, Alabama","Cleburne","01029","01","01029",5.9,5.2,149,148,20,151,8.5,106,3,5,1,20.22245,33.31113,6.66223,22.7,10573.442,5.671806,21.104005,16.728775113,206,1881,2065,279,10738.45,,279,10,,531.6,9.72687,86.39705882,272,186,40,53.525179856,269.6,18.9,,150,,0.5369355548,31.3,34.7,80,"","",8.4433776877
"Coffee County, Alabama","Coffee","01031","01","01031",3.5,3.6,521,527,18.4,540,8.9,413,22,18,16,43.54194,34.71553,30.85824,14.5,9926.746,6.188002,21.857745,17.309675605,786,6690,7385,636,8402.75,45,636,20,95.21794,398.2,6.019618,86.09062171,949,551,289,48.752433198,572,17.7,9.8,539,524,7.4254116576,29.9,30.6,3708,"","",7.3914033187
"Colbert County, Alabama","Colbert","01033","01","01033",4.4,4.8,723,724,25.9,743,10.2,448,30,8,21,55.03375,14.56664,38.23744,17.7,10669.629,4.674551,18.846353,15.034143065,581,6198,6715,941,10591.14,42,941,17,86.47669,493.2,4.462352,89.21496698,1363,651,326,53.181929581,598,29.6,7.4,747,725,5.0898157401,32.2,30.7,2770,"","",7.4936934214
"Conecuh County, Alabama","Conecuh","01035","01","01035",4.4,5.2,197,200,18.3,204,12.4,139,5,4,2,38.15338,30.70782,15.35391,21.5,10933.546,5.851585,24.022634,19.034676664,179,1868,2031,271,12941.65,10,271,10,79.48494,572.9,10.662686,73.71794872,312,174,87,54.768649669,663.9,22.9,,203,,14.783095042,36.3,37.3,1955,"","",4.776146729
"Coosa County, Alabama","Coosa","01037","01","01037",4,4.6,146,147,25.8,151,12.4,86,,,,,,,25,10013.28,5.595899,19.527309,16.094842657,131,1355,1473,221,11435.34,,221,,,525.8,,80.5,200,115,75,48.646362098,700.1,30,,149,,6.5244803226,34.3,31.8,752,"","",6.9465569725
"Covington County, Alabama","Covington","01039","01","01039",4.2,5.2,409,415,25,426,9.5,301,20,12,13,52.55137,31.14456,33.73994,20,10912.379,5.257836,22.473517,17.676652926,468,5028,5446,638,9829.79,30,638,13,87.69109,473.9,4.961075,82.58928571,896,579,171,69.233528638,449.3,28.7,10.9,428,419,3.0467534329,33.8,38.5,1150,"","",7.605558416
"Crenshaw County, Alabama","Crenshaw","01041","01","01041",4,3.8,166,169,20.3,169,8.9,103,3,3,2,21.56567,21.10447,14.06964,14.8,9767.931,8.112051,23.567786,19.158598235,278,1987,2236,238,9645.21,10,238,,74.21701,499,,76.72727273,275,173,77,53.643410853,553.5,16.6,,169,,15.835373555,35.7,33.9,2202,"","",6.1819106911
"Cullman County, Alabama","Cullman","01043","01","01043",3.9,4.4,434,441,21.4,444,9.1,638,46,53,35,57.11731,65.03387,42.94689,17.2,10673.736,5.952443,22.50663,17.906785367,1139,10947,11968,1309,9060.4,42,1309,40,55.88971,467,7.18813,87.20682303,1407,1016,259,55.851794844,321.6,22,10.9,444,438,3.1533742988,32.4,31.5,2535,"","",8.1724997889
"Dale County, Alabama","Dale","01045","01","01045",4.9,3.9,488,499,21.2,506,8.5,447,12,19,16,23.9789,36.99305,31.15204,12.6,10782.096,5.148157,19.941853,15.622125251,655,6036,6623,721,8911.89,38,721,29,76.56968,453.1,8.3613,85.38812785,876,528,289,50.47318612,577.5,21.2,14.4,506,494,10.283822567,35.3,31.1,5167,"","",6.7965191842
"Dallas County, Alabama","Dallas","01047","01","01047",3.9,3.6,1069,1085,25.2,1113,12.8,598,29,11,14,66.92514,25.20046,32.07331,23.8,10281.001,4.445199,21.015055,15.940969402,524,5416,5887,825,12898.83,41,825,15,86.83497,585.4,4.845118,75.25773196,776,919,547,74.563894523,1262.3,20.6,12,1109,1051,11.56345443,41.4,34.5,5067,"","",3.6944197855
"DeKalb County, Alabama","DeKalb","01049","01","01049",4.7,4.9,437,439,20.4,450,8.7,587,25,3,17,35.02627,4.17467,23.65645,20.2,10202.705,10.025802,28.988061,23.289841109,1904,12504,14262,1085,9152.78,39,1085,57,53.23723,475.2,11.747733,87.5,1160,989,148,60.408013682,207.4,18,10.1,447,440,2.2543408441,32.4,31.3,1603,"","",7.8868996462
"Elmore County, Alabama","Elmore","01051","01","01051",4.4,4.4,502,501,16.7,508,8.8,623,22,10,11,27.44443,11.61238,12.77362,15.1,9674.279,5.405405,17.586385,14.039207205,1042,8184,9088,1076,8604,55,1076,29,73.25032,432.5,5.451138,83.06737589,1128,794,400,42.29929146,499,21.4,10.3,508,493,6.5595762142,30.6,30.9,5201,"","",7.6205549522
"Escambia County, Alabama","Escambia","01053","01","01053",5.2,4.7,600,598,28.1,613,11,385,22,9,13,57.75036,21.8383,31.54421,14.9,11282.953,6.114749,24.855575,19.313377881,551,5163,5665,639,10537.95,27,639,54,76.37907,497.3,20.352551,77.39331027,867,608,216,69.772779435,567,20.9,7.7,614,602,7.5767133252,36.9,38.7,2903,"","",6.3792223635
"Etowah County, Alabama","Etowah","01055","01","01055",5.2,5,1065,1070,22.7,1103,8.9,777,75,80,47,71.90589,75.13501,44.14182,18.8,12275.497,5.06769,21.509362,16.944814407,1254,13521,14631,1972,11523.52,77,1972,89,79.68375,553.8,12.249673,83.39622642,2120,1303,594,54.63312369,569.5,26,10.7,1100,1067,8.6193857882,31.8,33.8,9001,"","",7.088419066
"Fayette County, Alabama","Fayette","01057","01","01057",5.6,5.2,263,268,31.8,274,9.6,124,17,,5,98.94075,,28.94524,16.4,10067.335,4.963992,19.994145,15.944627744,193,2049,2223,335,11965.06,14,335,13,88.99625,542.8,10.531944,82.16216216,370,196,61,49.494949495,355,14.1,,273,,1.3296278874,36.4,32.1,229,"","",7.7036097635
"Franklin County, Alabama","Franklin","01059","01","01059",5,4.4,352,363,24,372,8.5,278,16,2,7,50.18191,6.24356,21.85246,16.7,11668.903,7.117525,26.800583,21.046584887,582,5150,5679,573,10556.16,22,573,31,70.52412,546.5,14.179466,85.56998557,693,481,89,65.94461201,279.1,24.5,,370,,3.6438945765,34.3,37.4,1155,"","",7.7031795404
"Geneva County, Alabama","Geneva","01061","01","01061",4.3,3.4,307,308,28.3,317,8.6,187,5,3,2,18.66995,11.04566,7.36377,22.4,10933.104,5.684587,23.147919,18.426199682,350,3737,4051,448,9113.55,17,448,10,70.91015,459.2,5.421759,87.01298701,616,317,115,52.318864499,429.4,32.5,12.6,312,302,0.9303119503,34,34.5,249,"","",8.0239753432
"Greene County, Alabama","Greene","01063","01","01063",5.1,5.3,190,205,27.1,207,16,138,3,1,1,33.62852,11.20951,11.20951,16.4,9235.988,5.57041,22.490258,17.660397492,125,1212,1324,150,10934.56,,150,,,487.3,,83.5978836,189,126,146,52.741732943,1636.6,18.1,,206,,20.954377728,47.9,36.5,1895,"","",3.0211397335
"Hale County, Alabama","Hale","01065","01","01065",3.9,4.1,358,357,21.1,373,13.9,201,1,4,2,6.48466,25.43558,12.71779,,9673.19,5.817246,24.53345,19.118564743,226,2248,2451,306,13942.57,15,306,,91.44111,594.7,,76.96969697,330,197,185,44.489611563,1199.7,,,,,0.2262691368,41.6,38.3,35,"","",6.3031340993
"Henry County, Alabama","Henry","01067","01","01067",4,3.5,270,275,18.4,277,8.9,117,5,2,5,28.71583,11.43772,28.5943,11.5,10081.568,6.031746,21.80758,17.405130379,247,2244,2463,283,9577.3,,283,,,456,,85.40669856,418,189,114,49.014522822,654.7,17,,274,,0.9988050068,34.6,30.3,172,"","",7.957093301
"Houston County, Alabama","Houston","01069","01","01069",4.5,4.3,1141,1148,20.7,1169,8.7,833,78,91,60,76.19494,86.81715,57.24208,15.8,9922.898,4.59958,20.831578,16.152694437,1182,12856,13917,1365,8369.78,69,1365,58,69.88899,414.9,8.513149,85.84353379,1879,1266,795,55.148980659,776.6,18.4,13.3,1170,1126,7.3320376719,34.9,33.1,7445,"","",7.0223938683
"Jackson County, Alabama","Jackson","01071","01","01071",5.8,5.3,272,267,28,279,8.7,365,29,21,15,54.41819,39.16741,27.97672,18.7,10895.394,5.74272,23.085958,18.423625162,704,7469,8104,1017,11018.07,40,1017,35,81.9437,524.6,9.361142,86.45753634,1307,625,106,53.132704242,198.9,22.1,8.4,278,274,4.0849241392,30,32.3,2174,"","",7.9764054667
"Jefferson County, Alabama","Jefferson","01073","01","01073",3.7,3.9,4268,4284,17.8,4351,11.6,7644,647,660,505,98.18934,97.64484,74.71309,15,9535.055,5.431843,18.917521,15.148803225,8657,76797,84467,9946,10485.15,603,9946,480,96.989,495.7,10.445194,84.51532431,5612,7480,5636,47.822111973,855.3,21.2,14.5,4327,4190,11.421992034,32.2,29.9,75209,"","",6.1804269665
"Lamar County, Alabama","Lamar","01075","01","01075",7.1,6,234,237,28.5,245,9.1,106,1,,3,6.98763,,20.72396,12.9,10977.76,6.049496,20.862624,16.773689691,198,1751,1933,291,10051.33,,291,10,,521.4,9.628995,76.63551402,321,177,44,56.172643605,307.5,26.1,,245,,0.3583712258,31.3,37.3,52,"","",7.8639542302
"Lauderdale County, Alabama","Lauderdale","01077","01","01077",4.6,3.6,1164,1168,19.2,1189,10,686,46,75,45,49.57912,79.44999,47.67,12.2,9196.842,4.762369,19.003416,15.231463059,977,10625,11483,1345,8600.82,48,1345,64,60.08637,421.9,10.048232,86.77639047,1762,813,418,35.545645331,450.5,17.7,6.3,1186,1153,5.5793306058,32.2,32.6,5172,"","",7.6024570119
"Lawrence County, Alabama","Lawrence","01079","01","01079",4.6,5.5,203,206,23.5,209,10,275,9,16,2,26.37981,46.96627,5.87078,13.8,10602.971,6.32865,21.935667,17.659066533,518,4644,5104,610,10855.34,17,610,34,52.66582,520.3,14.171154,84.23194303,983,432,216,52.073288332,633.1,27.8,,210,,1.6444582678,37.7,34.8,564,"","",8.049692003
"Lee County, Alabama","Lee","01081","01","01081",3.7,5.2,617,620,17.5,626,8,889,67,69,42,46.70031,45.52622,27.71161,14.6,8515.171,5.660095,20.716104,16.848443445,1892,19689,21210,1336,7014.1,74,1336,48,59.90448,381,5.200856,84.81642813,1607,1094,836,23.934540999,582.7,18.3,17.8,625,606,11.351680284,32,26.4,15920,"","",6.5663826757
"Limestone County, Alabama","Limestone","01083","01","01083",3.6,3.1,372,368,20.7,376,9.3,637,24,24,24,28.11325,26.48977,26.48977,12.6,9953.384,5.895071,20.580225,16.403032376,1227,10655,11749,972,7448.38,41,972,53,53.36735,374,9.933409,88.43700159,1254,787,273,45.583550536,319.8,21.9,8.6,375,371,3.9498614551,33.8,30.3,3269,"","",8.0900400838
"Lowndes County, Alabama","Lowndes","01085","01","01085",4.8,4.2,274,282,35.8,289,13.7,166,1,,,8.97102,,,27.2,9866.253,5.65971,22.151899,17.425365234,160,1505,1646,237,15671.47,11,237,,94.08947,632.8,,83.05785124,242,219,114,63.368055556,1022.7,22.6,16.3,289,277,26.219250052,43.8,36,2962,"","",2.6355142247
"Macon County, Alabama","Macon","01087","01","01087",3.7,2.9,212,220,24.7,224,11.5,197,9,55,5,42.48891,246.49308,22.40846,15.1,7801.132,4.40753,19.493084,15.679273828,199,2438,2591,403,13905.84,21,403,,114.79801,613.5,,81.84818482,303,293,252,34.470588235,1189.7,13.8,,225,,19.21284519,39.2,33,4121,"","",3.5601853144
"Madison County, Alabama","Madison","01089","01","01089",3.4,3.5,1981,1991,14.1,2019,10.4,3010,292,263,187,85.85432,75.02089,53.34185,12.5,9461.904,4.865682,18.877843,14.972188852,3992,39648,43122,3763,7760.43,199,3763,143,63.49895,372,6.466635,85.63853292,4526,2760,1688,33.853400059,496.3,18.3,11.4,2005,1941,8.1045192152,30,26.3,27134,"","",7.3410261697
"Marengo County, Alabama","Marengo","01091","01","01091",4.8,4.5,773,780,26.4,795,12.2,228,8,1,5,38.66228,4.84144,24.20721,18.9,9069.68,6.128722,22.359743,17.651515152,319,2746,3029,365,9872.84,12,365,,55.47594,505.2,,75.73839662,474,279,150,49.07651715,724.9,16.8,12.8,795,775,15.139067414,41.6,34.4,3183,"","",5.0980392334
"Marion County, Alabama","Marion","01093","01","01093",4.6,4.3,430,440,23.7,449,9,210,11,3,6,35.87385,9.68179,19.36358,16.3,10832.417,5.028339,21.913169,17.349142322,346,3947,4258,572,10664.24,24,572,10,89.30233,502.9,4.651639,89.46700508,788,411,86,63.632141198,280.5,26.9,,446,,0.6361068717,33,42.3,195,"","",7.8352004715
"Marshall County, Alabama","Marshall","01095","01","01095",4.8,4.8,511,507,21.2,524,8.1,819,52,134,29,55.22163,139.84117,30.26413,19.7,10840.941,7.644274,27.366079,21.461738835,1873,15377,17055,1559,10231.61,79,1559,51,85.66843,509.4,8.150024,82.07434053,1668,1515,193,72.896117019,205,27.7,11.6,520,504,6.5607307182,31.5,35.1,6102,"","",7.6204354273
"Mobile County, Alabama","Mobile","01097","01","01097",4.5,4.8,3801,3836,22.6,3897,11.9,4960,252,201,194,61.07951,47.74472,46.08196,18.6,10102.325,5.54033,23.944942,18.575483886,5903,60330,65567,6242,10188.12,327,6242,330,78.47297,490,11.620889,84.1350826,4116,6059,3191,57.779600244,773.4,23.8,14.7,3889,3766,10.588538773,33.9,30.7,43729,"","",6.1670620632
"Monroe County, Alabama","Monroe","01099","01","01099",5,5,307,309,25.7,318,14.8,292,8,9,5,35.14938,39.41836,21.89909,26.8,9649.425,6.261572,23.567873,18.396597889,372,3172,3504,385,10721.71,12,385,11,49.54174,502.8,6.700372,77.80429594,419,351,130,58.054912339,571.2,20.7,,319,,16.946562216,35.9,34.6,3909,"","",4.5123039575
"Montgomery County, Alabama","Montgomery","01101","01","01101",4,3.8,1727,1727,21,1766,11.9,2774,207,158,142,89.21183,66.14421,59.44606,13.8,9109.673,5.127653,21.277363,16.461270313,3097,29520,32111,2920,9321.49,235,2920,80,103.86373,437.8,5.043437,82.85115304,2385,3210,2964,55.352462409,1277.4,19.2,14.7,1763,1690,11.281747834,35.3,29.3,25876,"","",5.6568272639
"Morgan County, Alabama","Morgan","01103","01","01103",4.5,4,532,535,14.9,541,9.2,992,68,96,56,56.68887,78.33665,45.69638,19.2,10069.044,7.130995,23.069838,18.53893593,2104,16781,18698,1718,8919.59,87,1718,129,76.27163,440.1,15.828299,84.28893905,2215,1387,624,50.996396794,520.2,23.9,10.8,542,534,3.5120856441,28.5,30.1,4196,"","",7.8961986439
"Perry County, Alabama","Perry","01105","01","01105",5.2,4.2,242,245,27.2,253,13.5,142,2,1,3,19.28083,9.15583,27.4675,24.3,9849.248,7.363602,24.977981,19.597249509,193,1418,1596,200,13472.66,,200,,,589.7,,67.63285024,207,187,128,55.341817106,1234,25.9,18.2,250,243,5.5966481016,38.9,33.5,592,"","",4.7506260697
"Pickens County, Alabama","Pickens","01107","01","01107",5.2,3.3,305,307,26,321,12.1,197,7,4,2,36.17758,20.26445,10.13223,15.3,11258.282,6.465611,22.013622,17.626990144,298,2521,2790,342,11568.09,26,342,12,136.89254,502,8.559201,87.38738739,444,199,162,41.286307054,837.3,18.1,7.5,321,313,2.1217778854,38.5,34.7,418,"","",6.5055002544
"Pike County, Alabama","Pike","01109","01","01109",4.7,3.8,395,402,23.8,403,9.4,268,16,3,9,48.61006,8.568,25.704,15.4,10718.935,6.05225,25.020867,20.328565042,417,5096,5457,483,10833.61,22,483,16,81.97943,504.6,7.205811,85.17786561,506,373,339,32.378472222,1029.9,18.3,11,405,396,5.7746215094,36,32.6,1899,"","",6.3066971782
"Randolph County, Alabama","Randolph","01111","01","01111",4,4.8,299,307,22.3,311,10,177,8,5,3,35.10774,21.6619,12.99714,15.7,9494.197,5.891834,23.951782,18.744971842,329,3199,3495,409,11072.81,17,409,17,77.84952,511.2,10.674168,83.94308943,492,296,81,52.186177715,355.5,28.1,14.1,314,306,2.046915454,34.2,34.9,469,"","",7.1709517989
"Russell County, Alabama","Russell","01113","01","01113",5,5,291,294,21.3,305,10.7,542,16,9,9,29.31906,15.41254,15.41254,16.3,9690.501,4.571469,22.905633,17.669085937,647,7828,8399,970,12304.68,52,970,41,96.86493,597.3,11.47479,77.83842795,916,731,415,57.400863761,760.5,23.9,,302,,7.7991661313,36.5,35.2,4129,"","",6.1170279606
"St. Clair County, Alabama","St. Clair","01115","01","01115",4.2,4,573,578,19.3,590,8.7,654,19,5,25,22.51238,5.73638,28.68189,20,10424.071,5.445255,19.975051,15.885835095,1119,10248,11271,1259,9241.2,57,1259,70,72.82949,460.2,12.817391,85.58897243,798,826,152,48.437225122,180.1,27.2,9.9,587,575,1.1628965767,32.9,34,972,"","",8.4782241036
